"alg","mean","sd"
"Combined 0.7 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.969133473684211,0.00851112843653284
"Combined 0.5 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.968493684210526,0.00987184406420959
"Combined 0.6 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.968493684210526,0.00987184406420959
"MABS 0.6",0.968417,0.0087596873358712
"Combined 0.4 [MABS 0.5,DiPy,NNLSFusion 4]",0.968297105263158,0.0103762495092009
"NNLSFusion 2",0.968284210526316,0.0100146149511543
"NNLSFusion 4",0.968257526315789,0.0100888686920477
"Combined 0.5 [MABS 0.5,DiPy,ImNeighborhoodCorrelation 5]",0.968137315789474,0.0103135233663414
"ImNeighborhoodCorrelation 2",0.968136473684211,0.0100791442778774
"ImNeighborhoodCorrelation 5",0.968093315789474,0.0100338347219829
"Combined 0.5 [MABS 0.5,DiPy,NNLSFusion 4,ImNeighborhoodCorrelation 5]",0.967985736842105,0.0105639233233897
"ImNeighborhoodCorrelation 8",0.967815210526316,0.0100835278525532
"NNLSFusion 8",0.967739894736842,0.0101772281147381
"Combined 0.2 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.967216,0.0104711421535571
"ImMajorityVoting",0.966827421052632,0.0101635708473165
"MABS 0.4",0.965809894736842,0.0117737383702258
"MABS 0.5",0.965809894736842,0.0117737383702258
"MABS 0.9",0.963462736842105,0.0117164797274897
"Combined 0.2 [MABS 0.5,DiPy,NNLSFusion 4]",0.95811052631579,0.015129253335356
"DiPy",0.956522368421053,0.0122572766968602
"MABS 0.2",0.954623684210526,0.0164501531639362
